iter	MultiClass
0	1.094510432
1	1.090541688
2	1.086793757
3	1.083133415
4	1.079625593
5	1.076255724
6	1.073065088
7	1.069956137
8	1.067072075
9	1.064129374
10	1.061358242
11	1.058543315
12	1.055804328
13	1.053254224
14	1.050846171
15	1.048555038
16	1.046278419
17	1.044020993
18	1.041933779
19	1.039804657
20	1.037773682
21	1.035892527
22	1.033995769
23	1.032108857
24	1.030389157
25	1.028697366
26	1.027004735
27	1.025425303
28	1.023795986
29	1.022166414
30	1.020751949
31	1.019585998
32	1.018195415
33	1.016825427
34	1.015550337
35	1.014231493
36	1.013016355
37	1.011918809
38	1.010797187
39	1.009644372
40	1.008553488
41	1.007500377
42	1.00653609
43	1.005382353
44	1.00462582
45	1.003783382
46	1.002857535
47	1.001926911
48	1.000996793
49	1.000086039
50	0.9992411712
51	0.9983925987
52	0.997600026
53	0.9968782254
54	0.996248303
55	0.9954543131
56	0.9947018611
57	0.9940031487
58	0.9933115956
59	0.9928284412
60	0.9921891861
61	0.991507722
62	0.9909223112
63	0.9902996378
64	0.9896961661
65	0.9891083156
66	0.9885952037
67	0.9880877725
68	0.9875056383
69	0.9870254287
70	0.9865047508
71	0.9859587096
72	0.985366974
73	0.9848381892
74	0.9843431305
75	0.9839552505
76	0.9834657633
77	0.9830144312
78	0.9826143476
79	0.9822328635
80	0.9818368098
81	0.9814149478
82	0.9809779884
83	0.9805813578
84	0.9802576415
85	0.9799676222
86	0.9794862347
87	0.9792238095
88	0.9789180132
89	0.978573647
90	0.9782661631
91	0.9779168663
92	0.9776335159
93	0.9774024122
94	0.9771762805
95	0.9768558485
96	0.9765813836
97	0.9762442827
98	0.975993929
99	0.9756921708
