iter	Passed	Remaining
0	19	1973
1	40	1963
2	43	1415
3	62	1503
4	82	1569
5	101	1594
6	112	1496
7	116	1344
8	136	1376
9	154	1394
10	174	1408
11	192	1410
12	211	1414
13	230	1417
14	242	1373
15	261	1370
16	280	1370
17	299	1364
18	318	1358
19	337	1350
20	356	1341
21	375	1331
22	395	1324
23	415	1314
24	434	1302
25	440	1254
26	445	1203
27	451	1160
28	470	1152
29	490	1143
30	494	1100
31	496	1055
32	515	1046
33	535	1038
34	553	1028
35	573	1018
36	592	1008
37	595	972
38	615	962
39	633	950
40	652	938
41	670	925
42	687	911
43	705	897
44	707	865
45	710	834
46	728	821
47	745	808
48	763	795
49	781	781
50	799	767
51	817	754
52	835	740
53	853	726
54	859	703
55	876	688
56	894	674
57	911	659
58	928	645
59	931	620
60	950	607
61	968	593
62	986	579
63	1004	564
64	1022	550
65	1040	536
66	1059	521
67	1065	501
68	1084	487
69	1104	473
70	1121	458
71	1139	443
72	1157	427
73	1174	412
74	1192	397
75	1202	379
76	1219	364
77	1237	349
78	1254	333
79	1271	317
80	1289	302
81	1307	287
82	1326	271
83	1343	255
84	1360	240
85	1366	222
86	1383	206
87	1386	189
88	1405	173
89	1422	158
90	1439	142
91	1457	126
92	1467	110
93	1485	94
94	1490	78
95	1507	62
96	1525	47
97	1543	31
98	1562	15
99	1579	0
